,course,semester_code,average_grade,passed,a,b,c,d,e,f
0,MA3402,H2007,4.5,0,2,2,0,0,0,0
1,MA3402,H2008,4.4,0,3,1,1,0,0,0
2,MA3402,H2009,4.25,0,4,3,0,1,0,0
3,MA3402,H2010,4.25,0,4,2,2,0,0,0
4,MA3402,H2011,4.714285714285714,0,6,0,1,0,0,0
5,MA3402,H2012,4.75,0,3,1,0,0,0,0
6,MA3402,H2013,4.0,0,2,1,2,0,0,0
7,MA3402,H2014,4.25,0,6,1,0,0,0,1
8,MA3402,H2015,3.9166666666666665,0,6,3,0,2,1,0
9,MA3402,H2016,3.9,0,6,2,0,0,1,1
10,MA3402,H2017,4.125,0,6,7,2,1,0,0
11,MA3402,H2004,4.0,0,1,2,1,0,0,0
12,MA3402,H2005,3.1666666666666665,0,1,2,1,1,1,0
13,MUSP4145,V2007,4.0,0,0,5,0,0,0,0
14,MUSP4145,V2008,4.3,0,3,7,0,0,0,0
15,MUSP4145,V2009,4.5,0,4,4,0,0,0,0
16,MUSP4145,V2011,4.25,0,2,6,0,0,0,0
17,MUSP4145,V2012,4.0,0,2,0,2,0,0,0
18,MUSP4145,V2013,4.0,0,0,3,0,0,0,0
19,MUSP4145,V2015,5.0,0,3,0,0,0,0,0
20,MUSP4145,V2016,4.2,0,2,8,0,0,0,0
21,MUSP4145,V2017,0.0,5,0,0,0,0,0,0
22,MUSP4145,V2005,4.428571428571429,0,5,0,2,0,0,0
23,MUSP4136,V2014,0.0,3,0,0,0,0,0,0
24,MUSP4136,V2018,0.0,3,0,0,0,0,0,0
25,MUSP4137,V2007,0.0,5,0,0,0,0,0,0
26,MUSP4137,V2008,0.0,7,0,0,0,0,0,0
27,MUSP4137,H2008,0.0,4,0,0,0,0,0,0
28,MUSP4137,V2009,0.0,9,0,0,0,0,0,1
29,MUSP4137,V2010,0.0,8,0,0,0,0,0,0
30,MUSP4137,H2010,0.0,3,0,0,0,0,0,0
31,MUSP4137,V2011,0.0,15,0,0,0,0,0,0
32,MUSP4137,V2012,0.0,7,0,0,0,0,0,0
33,MUSP4137,V2014,0.0,8,0,0,0,0,0,0
34,MUSP4137,V2016,0.0,5,0,0,0,0,0,0
35,MUSP4137,V2004,0.0,3,0,0,0,0,0,0
36,MUSP4137,V2005,0.0,13,0,0,0,0,0,0
37,MUSP4137,V2006,0.0,13,0,0,0,0,0,0
38,MUSP4137,V2018,0.0,5,0,0,0,0,0,0
39,BA8304,S2007,4.333333333333333,0,1,2,0,0,0,0
40,BA8304,H2008,4.5,0,10,4,2,0,0,0
41,BA8304,H2010,3.35,0,5,4,6,3,2,0
42,BA8304,H2012,4.407407407407407,0,15,8,4,0,0,0
43,BA8304,H2014,0.0,24,0,0,0,0,0,2
44,BA8304,H2016,0.0,13,0,0,0,0,0,5
45,BA8304,H2004,3.4375,0,7,2,2,3,0,2
46,BA8304,H2006,2.888888888888889,0,4,4,4,2,0,4
47,PPU4755,V2008,3.6363636363636362,0,2,5,2,2,0,0
48,PPU4755,V2009,4.25,0,1,3,0,0,0,0
49,PPU4755,V2010,3.6,0,2,0,2,1,0,0
50,PPU4755,V2011,3.3333333333333335,0,0,4,4,1,0,0
51,PPU4755,V2012,3.5555555555555554,0,0,10,8,0,0,0
52,PPU4755,V2013,3.8947368421052633,0,2,13,4,0,0,0
53,PPU4755,V2014,3.357142857142857,0,0,6,7,1,0,0
54,PPU4755,V2015,3.5,0,3,4,8,0,1,0
55,PPU4755,V2016,3.6,0,2,7,4,2,0,0
56,EUR3401,H2007,3.142857142857143,0,2,5,2,4,0,1
57,EUR3401,H2008,3.5714285714285716,0,2,1,3,1,0,0
58,EUR3401,H2009,3.1,0,0,3,5,2,0,0
59,EUR3401,H2011,3.8,0,2,4,4,0,0,0
60,EUR3401,H2012,3.7419354838709675,0,9,7,13,2,0,0
61,EUR3401,H2013,3.769230769230769,0,3,4,6,0,0,0
62,EUR3401,H2014,3.6206896551724137,0,6,10,9,4,0,0
63,EUR3401,H2015,3.8461538461538463,0,3,6,3,1,0,0
64,EUR3401,H2016,4.3478260869565215,0,10,11,2,0,0,0
65,EUR3401,H2006,3.5,0,3,1,1,3,0,0
66,TPRA1001,H2012,2.0140845070422535,0,4,7,16,19,9,16
67,TPRA1001,V2013,0.3333333333333333,0,0,0,0,0,2,4
68,TPRA1001,H2013,2.2962962962962963,0,7,8,8,11,11,9
69,TPRA1001,V2014,0.6666666666666666,0,0,0,0,0,4,2
70,TPRA1001,H2014,1.9310344827586208,0,1,4,4,8,7,5
71,TPRA1001,V2015,2.0,0,1,0,0,0,1,1
72,TPRA1001,V2016,1.5,0,0,0,1,0,3,0
73,TPRA1002,H2012,3.943661971830986,0,5,57,9,0,0,0
74,TPRA1002,H2013,3.1964285714285716,0,1,19,27,8,1,0
75,TPRA1002,H2014,3.806451612903226,0,3,19,9,0,0,0
76,HMPH5003,V2016,3.0,0,0,2,3,2,0,0
77,HMPH5003,V2017,2.375,0,0,4,1,0,0,3
78,HMPH5003,H2017,3.0,0,1,0,1,2,0,0
79,HMPH5003,V2018,2.111111111111111,0,0,3,1,2,0,3
80,MUSP4540,V2014,3.0,0,1,0,1,0,1,0
81,IDR3920,V2007,3.0,0,0,1,3,1,0,0
82,IDR3920,V2008,3.0,0,0,2,0,2,0,0
83,IDR3920,H2008,2.6666666666666665,0,0,1,0,2,0,0
84,IDR3920,V2009,2.3333333333333335,0,0,1,0,1,1,0
85,IDR3920,V2011,3.5714285714285716,0,1,3,2,1,0,0
86,IDR3920,V2012,3.75,0,1,2,0,1,0,0
87,IDR3920,V2013,3.142857142857143,0,0,2,4,1,0,0
88,IDR3920,H2014,3.25,0,0,1,3,0,0,0
89,IDR3920,V2015,3.5,0,1,6,4,0,1,0
90,IDR3920,V2016,3.466666666666667,0,3,4,5,3,0,0
91,IDR3920,V2017,3.727272727272727,0,1,6,4,0,0,0
92,IDR3920,V2018,3.7142857142857144,0,2,8,2,2,0,0
93,DRA1002,V2007,3.03125,0,4,6,12,7,3,0
94,DRA1002,V2008,3.1538461538461537,0,3,5,11,7,0,0
95,DRA1002,V2009,3.1714285714285713,0,3,7,19,5,1,0
96,DRA1002,V2010,3.125,0,4,3,10,6,1,0
97,DRA1002,V2011,3.323529411764706,0,8,6,11,7,2,0
98,DRA1002,V2012,3.074074074074074,0,7,2,10,4,2,2
99,DRA1002,V2013,3.2941176470588234,0,1,6,7,3,0,0
100,DRA1002,V2014,3.210526315789474,0,3,3,8,5,0,0
101,DRA1002,V2015,3.3870967741935485,0,9,5,9,6,1,1
102,DRA1002,V2016,3.4,0,3,11,18,3,0,0
103,DRA1002,V2017,3.193548387096774,0,4,9,10,6,1,1
104,DRA1002,V2004,3.7419354838709675,0,8,10,10,3,0,0
105,DRA1002,V2005,3.59375,0,6,11,11,4,0,0
106,DRA1002,V2006,3.5428571428571427,0,5,13,13,4,0,0
107,DRA1002,V2018,3.129032258064516,0,3,8,12,7,0,1
108,MOL8001,V2007,0.0,4,0,0,0,0,0,0
109,MOL8001,V2008,0.0,7,0,0,0,0,0,0
110,MOL8001,H2010,0.0,2,0,0,0,0,0,2
111,MOL8001,H2011,0.0,2,0,0,0,0,0,1
112,MOL8001,H2012,0.0,8,0,0,0,0,0,0
113,MOL8001,H2016,0.0,4,0,0,0,0,0,0
114,MOL8001,V2006,0.0,7,0,0,0,0,0,1
115,MOL8001,H2006,0.0,2,0,0,0,0,0,2
116,PD8300,V2010,4.0,0,0,3,0,0,0,0
117,PD8300,V2012,4.4,0,2,3,0,0,0,0
118,PD8300,V2015,0.0,6,0,0,0,0,0,0
119,PD8300,V2017,0.0,4,0,0,0,0,0,0
120,PD8300,V2018,0.0,5,0,0,0,0,0,0
121,PPU4751,V2007,3.5,0,0,2,2,0,0,0
122,PPU4751,V2008,3.8,0,2,4,4,0,0,0
123,PPU4751,V2009,3.7777777777777777,0,1,5,3,0,0,0
124,PPU4751,V2010,3.0,0,2,6,5,3,2,1
125,PPU4751,V2011,3.8666666666666667,0,1,11,3,0,0,0
126,PPU4751,V2012,4.074074074074074,0,5,19,3,0,0,0
127,PPU4751,V2013,3.6666666666666665,0,2,12,10,0,0,0
128,PPU4751,V2014,3.590909090909091,0,4,8,7,3,0,0
129,PPU4751,V2015,3.1515151515151514,0,5,6,15,4,2,1
130,PPU4751,V2016,3.1578947368421053,0,2,5,8,2,2,0
131,PPU4751,V2017,3.0,0,0,1,1,1,0,0
132,HMPH4007,H2013,3.577639751552795,0,5,98,48,5,5,0
133,HMPH4007,H2014,3.8110599078341014,0,26,126,63,2,0,0
134,HMPH4007,H2015,3.1341463414634148,0,17,59,112,56,2,0
135,HMPH4007,H2016,3.0736842105263156,0,4,25,46,15,4,1
136,HMPH4007,H2017,2.9210526315789473,0,1,7,21,6,3,0
137,DRA3090,V2007,3.4,0,0,3,1,1,0,0
138,DRA3090,H2007,3.2,0,0,1,4,0,0,0
139,DRA3090,V2008,2.888888888888889,0,0,2,4,3,0,0
140,DRA3090,V2009,3.3333333333333335,0,0,2,0,1,0,0
141,DRA3090,V2010,3.0,0,0,1,2,1,0,0
142,DRA3090,V2011,4.666666666666667,0,2,1,0,0,0,0
143,DRA3090,V2012,3.6,0,1,2,1,1,0,0
144,DRA3090,H2013,3.5,0,0,2,2,0,0,0
145,DRA3090,V2015,3.3333333333333335,0,0,1,2,0,0,0
146,TDT4240,V2007,3.3289473684210527,0,7,23,37,7,1,1
147,TDT4240,V2008,3.0875,0,5,26,33,9,1,6
148,TDT4240,S2008,3.0,0,1,1,2,1,1,0
149,TDT4240,V2009,3.0153846153846153,0,5,13,37,3,2,5
150,TDT4240,V2010,3.443298969072165,0,16,35,35,4,1,6
151,TDT4240,S2010,2.375,0,0,2,3,1,0,2
152,TDT4240,V2011,3.168067226890756,0,9,40,49,11,3,7
153,TDT4240,S2011,2.2,0,0,1,2,0,1,1
154,TDT4240,V2012,3.24,0,12,43,51,10,0,9
155,TDT4240,S2012,2.2,0,0,2,1,0,0,2
156,TDT4240,V2013,2.9782608695652173,0,9,46,52,11,4,16
157,TDT4240,S2013,3.9,0,2,5,3,0,0,0
158,TDT4240,V2014,2.8384615384615386,0,9,29,42,38,6,6
159,TDT4240,S2014,4.0,0,2,1,0,1,0,0
160,TDT4240,V2015,3.2097902097902096,0,15,52,45,20,1,10
161,TDT4240,S2015,3.6,0,0,3,2,0,0,0
162,TDT4240,V2016,3.25,0,12,53,42,9,0,12
163,TDT4240,S2016,2.8,0,1,1,1,1,0,1
164,TDT4240,V2017,3.0347222222222223,0,17,41,51,17,1,17
165,TDT4240,S2017,3.0,0,1,2,3,4,0,0
166,TDT4240,V2004,3.549019607843137,0,13,18,11,5,1,3
167,TDT4240,V2005,3.183098591549296,0,7,25,23,10,2,4
168,TDT4240,V2006,3.230769230769231,0,9,30,35,11,2,4
169,TDT4240,S2006,3.0,0,1,0,1,2,0,0
170,TDT4240,V2018,3.204225352112676,0,19,52,34,25,0,12
171,TET4160,S2007,0.6666666666666666,0,0,0,0,0,2,1
172,TET4160,H2007,3.1041666666666665,0,9,11,13,7,7,1
173,TET4160,H2008,2.6451612903225805,0,4,7,27,13,9,2
174,TET4160,H2009,2.744186046511628,0,6,5,17,7,3,5
175,TET4160,S2010,1.8333333333333333,0,0,1,2,0,1,2
176,TET4160,H2010,2.8260869565217392,0,6,11,32,10,5,5
177,TET4160,S2011,0.75,0,0,0,1,0,0,3
178,TET4160,H2011,2.45,0,1,8,24,14,10,3
179,TET4160,H2012,2.707692307692308,0,5,9,26,14,9,2
180,TET4160,H2013,2.3970588235294117,0,6,12,15,16,8,11
181,TET4160,S2014,2.6666666666666665,0,0,1,1,0,1,0
182,TET4160,H2014,3.0657894736842106,0,11,22,23,7,7,6
183,TET4160,S2015,1.0,0,0,0,0,1,1,1
184,TET4160,H2015,2.7666666666666666,0,8,12,16,9,12,3
185,TET4160,H2016,2.3333333333333335,0,3,5,15,11,10,4
186,TET4160,S2017,1.3333333333333333,0,0,0,0,1,2,0
187,TET4160,H2017,2.46,0,2,11,14,11,5,7
188,TET4160,H2004,3.125,0,3,6,1,2,4,0
189,TET4160,H2005,2.4782608695652173,0,3,4,4,5,4,3
190,TET4160,H2006,2.0,0,1,3,8,6,5,6
191,TTT4145,H2007,1.5526315789473684,0,1,0,11,6,9,11
192,TTT4145,S2008,1.0,0,0,0,1,1,2,3
193,TTT4145,H2008,2.3043478260869565,0,0,5,7,3,6,2
194,TTT4145,H2009,2.0,0,1,1,5,2,2,4
195,TTT4145,H2010,3.6923076923076925,0,0,9,4,0,0,0
196,TTT4145,H2011,4.2,0,6,6,3,0,0,0
197,TTT4145,H2012,3.7857142857142856,0,3,5,6,0,0,0
198,TTT4145,H2013,2.8,0,0,5,6,2,0,2
199,TTT4145,V2015,3.7142857142857144,0,2,3,0,2,0,0
200,TTT4145,V2016,3.6153846153846154,0,0,9,3,1,0,0
201,TTT4145,V2017,3.6666666666666665,0,1,7,3,1,0,0
202,TTT4145,H2004,1.7222222222222223,0,2,7,6,11,15,13
203,TTT4145,S2005,1.8571428571428572,0,0,1,1,2,2,1
204,TTT4145,H2005,1.8125,0,0,6,10,10,13,9
205,TTT4145,S2006,0.5714285714285714,0,0,0,0,0,4,3
